destination_id,edge_id,method,level,service,class,Class.keyword,class,Class.keyword,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length
6496c858badc742d8ec3d053,6496c858badc742d8ec3d061,deserializeMessage,INTERNALTRACE,chatbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,b2eb2440-82b7-4c76-9dc5-45c21c11acc6,f3011569cc6f180c16dfd388e6b2abe8,7c7c85f1-a44c-4233-8a47-bec010107112:5801e4ec-6a8e-4897-99e5-1386b5fbb91e,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d062,deserializeMessage,INTERNALTRACE,chatbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,69860e61-1e85-44fb-bfdd-a0c2addfbde6,06b6931184c3309f7f26f2cb56705ccf,264cad64-f5ca-4077-a892-5ef2b1a9162d:cfdc8870-0939-4acd-b7a2-41ee05f55be9,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d063,deserializeMessage,INTERNALTRACE,chatbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,4b3fbce0-2e65-495f-a3f3-adc11acd32e0,86b2f421b5396af3e99b26d300271071,264cad64-f5ca-4077-a892-5ef2b1a9162d:c42f95f4-7f3b-48c5-8c92-c2e14ab11870,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d064,deserializeMessage,INTERNALTRACE,chatbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,d7632a10-cfef-4cfc-b755-fefe9c75e0dc,7cd8a890ccbc64022aa16a6cec555fb1,10954c5d-6823-4514-a739-37f11554462a:342bc5d5-3185-4f47-9913-0e913bcccdf9,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d065,deserializeMessage,INTERNALTRACE,chatbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,59f1010a-e37b-4d8e-b7e8-877fbbf9a11d,2851d0c4ae577473c841e5f183318134,10954c5d-6823-4514-a739-37f11554462a:552a2dfe-9308-43df-89f5-07b81bb9a182,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d066,deserializeMessage,INTERNALTRACE,chatbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,1b39489c-4c37-4040-9747-4c730b2c716b,e9ac2cebe51b65a703ed69602c26995a,b2493c55-4fb6-4894-93d5-dc13176aa938:1e816ff6-6d08-4059-ab2d-e476711e08c4,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d067,deserializeMessage,INTERNALTRACE,chatbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,0b960240-70e7-4f3e-bc13-32be18e9848f,b5814a7c9fe8a7219adb0e5d43985995,b2493c55-4fb6-4894-93d5-dc13176aa938:b70dcd96-1e31-4229-ad85-98d2364ddb78,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d068,deserializeMessage,INTERNALTRACE,chatbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,840c6fb2-0822-4364-a7c8-ab06ebd97eb7,59a84959c7a4b19e9ac52d7a343d9ac7,27e87237-678e-4419-952e-b2e8c41fa69a:de940215-0b17-4397-bb84-b838cc67fe97,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d069,deserializeMessage,INTERNALTRACE,chatbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,c7cafa22-baa9-4d3b-8d35-cebc0397f3fb,23d887395bf29409f0b10b1e78ad671f,27e87237-678e-4419-952e-b2e8c41fa69a:acf9fd0c-7c54-4f11-a3a5-2150c1cca5d9,cimchat,chatbroker,200,36,32,73
6496c858badc742d8ec3d053,6496c858badc742d8ec3d06a,deserializeMessage,INTERNALTRACE,chatbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,cimchat-cimchat-69b5db986c-jpq2x,response,4db6913b-7385-4fc2-b03d-01065650e1c0,2f08a9b322bc580609796b030d223fc0,0612c3d0-da3d-4d0b-b34b-d889323f7907:0d2578e3-409c-46a7-86a2-10d5674190c5,cimchat,chatbroker,200,36,32,73
